id,graduatingYear,isAlumni,tagline,rawBody,createdAt,program,overallScore,comments,overall,curriculum,jobSupport,school
300758,2023.0,False,"intensiv &amp; stressful, support of teaching team great","<p>Generally I like the course. It was amazing stressful and intensiv, sometimes was really difficult to follow lessons, but at the end I think that course was really good. Especially I liked teaching team that is really really great. They supported us everytime, they were open for all questions, suggestions etc.</p>",4/30/2023,UX/UI Design Bootcamp,5.0,[],5.0,5.0,,ironhack
300701,2023.0,False,Amazing experience!,"<p>Before joining the bootcamp, I was skeptical about the possibility of becoming a data analyst in just 9 weeks! Today, I can proudly and confidently apply for junior data analyst positions. The Ironhack bootcamp was intense, challenging, and enjoyable all at once. Under the guidance of exceptional teaching staff, I received the support and direction needed throughout the bootcamp. Investing time and effort in this program was undoubtedly worthwhile, and I&#39;m excited for the future opportunities that await me in the world of data analytics.</p>",4/27/2023,Data Analytics Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
300599,2023.0,False,Great bootcamp if you want to change career!,"<p>My goal was to change career from Sales to Product. This UX/UI course gave me the tools to establish this. The bootcamp&#39;s pre-work prepares you for the course, so you can get started with basic knowledge and skills. The course has a hands-on approach with the focus on working in project groups. This results in 5 portfolio projects. The teaching staff is experienced and always there to help. I learned a lot from them as well as other students. Although, I attended the course remotely, it felt like we were part of a family. Ironhack has a huge network within the industry. They have been able to assign me to exciting projects with companies that offered me to stay on after the bootcamp.</p>",4/25/2023,UX/UI Design Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
300597,2023.0,False,Great way to become a web dev,"<p>It is a intense 9 week program, but you learn a lot. The more time you put into it the more you learn. The staff is very helpful and are always willing to give a hand. The people who attend the bootcamp are likeminded which gives a positive vibe. I would definitely recommend it.</p>",4/25/2023,Web Development Bootcamp,4.0,[],4.0,4.0,4.0,ironhack
300526,2023.0,False,It was well structured and very encouraging Team,"<p>The Bootcamp was well structured and had a lot input of the topic. I like the fact that there were three people in the teaching them. Like that you always had someone to contact and ask questions. I wish they could find a way to help or encourage the class more in working as a group. For me the first weeks were very challenging, one of the problem was not feeling free in the small groups.</p>",4/21/2023,Data Analytics Bootcamp,4.3,[],5.0,5.0,3.0,ironhack
300130,2023.0,False,Awesome,"<p>Pros Lots and lots of help and useful information, nice practical part as well and the instructors is really good to Cons To little in terms of time I woul like to have more information in the time we have , the information is great and all just a to little</p>",4/11/2023,Cybersecurity Part-Time,4.3,[],4.0,5.0,4.0,ironhack
300057,2022.0,False,"Good classes, really bad ""career service""","<p>The classes were phenomenal, in my case my professor was outstanding, very patient and always glad to help anyone who needed it. As for the 2 TAs, one was better than the other, but they both still tried their hardest to help you in anything they want. So in the case of learning how to program (I did the web development bootcamp) it really was a nice experience where you learn a lot. Here comes my issues, the career service. They promised in their old website a really high chance to get a job after finishing their bootcamps (+90% of students found a job in less than 6 months supposedly), and they claim to have contacts with over 600+ companies, which does not really seem to be the case. The career service is only valid in my opinion so you can learn how to set up your LinkedIn, the rest of the stuff they organize/offer, is really not up to any kind of standards that you would expect, specially when they sell themselves in such a nice way, and for the cost, Id rather pay 50% just to go to class, and just skip the career service. They start bombarding you with e-mails, asking for job updates and what are you doing, and in my case, even after answering all of them, since I needed to find another job to sustain myself. I can not part-take in any of the events they organize even remotely in 99% of the cases, and seems like if you do not part-take in this kinda sect you are not welcome. So, finishing up, I would recommend that you go to another bootcamp if you just want to learn and want to avoid being sold smoke.</p>",4/8/2023,Web Development Bootcamp,2.0,[],1.0,4.0,1.0,ironhack
299681,2022.0,False,Boost to my career,"<p>I joined this program in order to apply for UX designer jobs. And at the end of the Bootcamp, I felt ready to apply for jobs. + I got a complete understanding of each step of the UX Design process in such a short time. + I could get support whenever I was confused or didn&#39;t know how to move on. + We learned not only how to do UX/UI Design but how to present our designs, how to work more efficiently in a team and how to prioritize things + For 2 months, I could focus 100% of my time on UX /UI Design, something I could not do alone! + Amazing teaching team and career coach!</p>",3/29/2023,UX/UI Design Bootcamp,4.7,[],5.0,5.0,4.0,ironhack
299425,2023.0,False,A good inversion,"<p>This boot camp was the point of being a web developer learning by myself and boosting my career and having confident and tools to really improve my career, I really want to find my software engineer job, and now I can not wait to start doing interviews with the support of all Carrear week! if you really work hard and follow the tips, this is your boot camp! but if you don&#39;t have time for anything try to wait a little longer, practice little by little and when you can make it without any problem, do it! 100%</p>",3/22/2023,Web Development Bootcamp,4.0,[],4.0,4.0,4.0,ironhack
299312,2023.0,False,Amazing and life changing,"<p>I joined this course to gain more knowledge and start working, it&#39;s a tough course but it&#39;s worth it, there were moments of doubt I wondered if I could really finish it but seeing my progress from the beginning to the end, I saw that I really learned a lot.</p>",3/18/2023,Web Development Bootcamp,4.0,[],4.0,4.0,4.0,ironhack
299301,2023.0,False,"Tough, but so much fun and highly efficient","<p>Pros: - a lot of information and learning (also available after the course: recorded lessons, student portal) - hands on experience (working with real stakeholders, many projects) - peer feedback through exercises - constant, helpful &amp; motivating teacher feedback - a fun time with games, music and many jokes in the class Cons: - many hours on the computer - intense learning (sometimes overwhelmingly much content - but as everything is available after the course that isn&#39;t too much of a worry)</p>",3/18/2023,UX/UI Design Bootcamp,5.0,[],5.0,5.0,5.0,ironhack
299046,2023.0,False,I regretted not having asked former students and having informed myself sufficiently,"<p>For absolute beginners, this course may be satisfactory as it provides a feel-good factor, but keep in mind that the industry standards are not taught in depth. While you may be able to secure a job after this training, this is also true for any other training program. Ultimately, your skills and portfolio will be what counts, not where you obtained your certificate. One of the highlights of the course is the group projects, where you collaborate on design thinking and user-centred design approach. You learn how to do Prototypes in Figma However, the course content and material provided in the student portal and lessons are quite introductory and can be found through a quick Google search. While design critique and feedback from fellow students may be helpful, it may not be as useful as feedback from qualified industry experts who have been in the industry for years. Some individuals may think that because they can take this course through the job center in Germany, there is not much to lose. However, I recommend doing thorough research on the course and its teachers and their career + portfolios, as well as looking at case studies and end results from former students on platforms like Medium. Compare the course with other excellent alternatives available in 2023 to make an informed decision. Reach out to former students, especially those who are currently employed as UI and UX designers on LinkedIn for their valuable insights. Lastly, it is not entirely accurate to say that this course is for advanced students or that it will prepare you to start your own business. The course does not have the resources for ,,advanced questions,, or the necessary personnel to provide advice to students who wish to start their own businesses. The companies suggested by the Career team may be more suited to individuals who prefer to work in an ,,old,, office setting.</p>",3/13/2023,UX/UI Design Bootcamp,1.7,[],2.0,2.0,1.0,ironhack
